unique_id,ds,mlforecast_lr
394323,2021-08-31,171985.9034217634
394323,2021-09-30,174033.87655815395
394324,2021-06-30,92068.59970147541
394324,2021-07-31,92710.72385511274
394324,2021-08-31,93205.692156612
394324,2021-09-30,93723.19264469208
394325,2021-06-30,222675.44705550472
394325,2021-07-31,225314.19449135388
394325,2021-08-31,227279.91311719926
394325,2021-09-30,229286.86020776728
394326,2021-06-30,129654.93149529683
394326,2021-07-31,130718.14755665237
394326,2021-08-31,131795.0448277463
394326,2021-09-30,132886.79136408126
394327,2021-06-30,321551.7638547188
394327,2021-07-31,323067.2813307057
394327,2021-08-31,323966.9163370701
394327,2021-09-30,324808.23657313274
394330,2021-06-30,187742.71137722302
394330,2021-07-31,188503.22314566842
394330,2021-08-31,189560.53590371335
394330,2021-09-30,190710.30303792324
394331,2021-06-30,196248.95365100075
394331,2021-07-31,197321.9556539036
394331,2021-08-31,198491.9968835395
394331,2021-09-30,199735.7019248
394332,2021-06-30,338866.50865581917
394332,2021-07-31,342195.02006659197
394332,2021-08-31,345461.76404648746
394332,2021-09-30,348833.76450023527
394333,2021-06-30,121015.18666248774
394333,2021-07-31,121213.5503912727
394333,2021-08-31,122164.46354961029
394333,2021-09-30,123363.01574586803
394334,2021-06-30,222620.68188591214
394334,2021-07-31,224985.20873012865
394334,2021-08-31,227196.47651219094
394334,2021-09-30,229418.0455751578
394335,2021-06-30,152440.9518657467
394335,2021-07-31,154259.83832934132
394335,2021-08-31,155772.81175550172
394335,2021-09-30,157284.73349483317
394336,2021-06-30,100190.07267547777
394336,2021-07-31,101151.9630989731
394336,2021-08-31,101373.60710895347
394336,2021-09-30,101666.0656602169
394337,2021-06-30,95652.36415515101
394337,2021-07-31,95788.09462265583
394337,2021-08-31,96120.32829410309
394337,2021-09-30,96658.76167929085
394338,2021-06-30,329770.4147700081
394338,2021-07-31,335006.7292414038
394338,2021-08-31,339864.5137375156
394338,2021-09-30,344530.0817559893
394339,2021-06-30,158661.15910193144
394339,2021-07-31,159412.80734574428
394339,2021-08-31,160365.97677858087
394339,2021-09-30,161333.87524158793
394340,2021-06-30,125582.48107501023
394340,2021-07-31,126516.47869468995
394340,2021-08-31,127548.28789038837
394340,2021-09-30,128770.27834600923
394341,2021-06-30,432411.22419952427
394341,2021-07-31,448583.37315044587
394341,2021-08-31,461434.19674608595
394341,2021-09-30,472722.10294367885
394342,2021-06-30,101172.16419520049
394342,2021-07-31,101906.34760655841
394342,2021-08-31,102528.95731913211
394342,2021-09-30,103177.74864488846
394343,2021-06-30,153772.60092924634
394343,2021-07-31,154542.79163993994
394343,2021-08-31,155501.1968464349
394343,2021-09-30,156550.67018963775
394344,2021-06-30,151587.91302409308
394344,2021-07-31,152173.7015689882
394344,2021-08-31,153191.53526230349
394344,2021-09-30,153945.10690256028
394345,2021-06-30,213270.26641800912
394345,2021-07-31,219906.41769790003
394345,2021-08-31,225499.73167554388
394345,2021-09-30,230307.31714563916
394346,2021-06-30,240577.34099662775
394346,2021-07-31,242896.12573794002
394346,2021-08-31,244998.01947892556
394346,2021-09-30,247202.67419263074
394347,2021-06-30,291578.604897433
394347,2021-07-31,296379.3079789086
394347,2021-08-31,300735.2288866444
394347,2021-09-30,305055.3289299133
394348,2021-06-30,252848.62646847503
394348,2021-07-31,256500.21595649148
394348,2021-08-31,259892.6739867172
394348,2021-09-30,263114.67357155407
394349,2021-06-30,169213.63193687616
394349,2021-07-31,170866.70442564698
394349,2021-08-31,172251.07280152576
394349,2021-09-30,173422.13655259932
394350,2021-06-30,148415.78969540945
394350,2021-07-31,149106.87682217488
394350,2021-08-31,149993.2157714108
394350,2021-09-30,151105.4071022839
394351,2021-06-30,226917.73026979834
394351,2021-07-31,227998.83720316167
394351,2021-08-31,229303.85827454505
394351,2021-09-30,230693.16159396435
394352,2021-06-30,182896.8071541051
394352,2021-07-31,185084.274747056
394352,2021-08-31,187173.2312237146
394352,2021-09-30,189231.80557288515
394353,2021-06-30,234255.3320100038
394353,2021-07-31,239958.3464397593
394353,2021-08-31,245249.9998940705
394353,2021-09-30,250171.4721387467
394354,2021-06-30,154222.8105597422
394354,2021-07-31,155689.1108718692
394354,2021-08-31,157308.4406180997
394354,2021-09-30,158661.5015464081
394355,2021-06-30,471411.35760017956
394355,2021-07-31,486479.84767641226
394355,2021-08-31,501181.68382347847
394355,2021-09-30,516205.18976043636
394356,2021-06-30,111993.1735403976
394356,2021-07-31,112915.58213924995
394356,2021-08-31,113645.70037775586
394356,2021-09-30,114406.45044467138
394357,2021-06-30,278774.7618136658
394357,2021-07-31,283042.66653053934
394357,2021-08-31,287032.8488769243
394357,2021-09-30,290650.9948086823
394358,2021-06-30,337938.2345008171
394358,2021-07-31,341009.25895642216
394358,2021-08-31,344365.81574100355
394358,2021-09-30,347777.59678678314
394359,2021-06-30,201427.65405978175
394359,2021-07-31,205920.7190159476
394359,2021-08-31,209917.80341366777
394359,2021-09-30,214169.223399113
394360,2021-06-30,224321.14884026445
394360,2021-07-31,225863.79998549653
394360,2021-08-31,227299.89270238826
394360,2021-09-30,228717.9922292251
394361,2021-06-30,571444.1848004637
394361,2021-07-31,585438.642824231
394361,2021-08-31,597906.6934236353
394361,2021-09-30,610217.4945352271
394362,2021-06-30,287272.14142155374
394362,2021-07-31,293961.60445235024
394362,2021-08-31,299206.969706771
394362,2021-09-30,304408.5048157322
394363,2021-06-30,116615.69707414048
394363,2021-07-31,118017.50303418009
394363,2021-08-31,119153.90548855631
394363,2021-09-30,120393.20168269059
394364,2021-06-30,58050.34772251226
394364,2021-07-31,58010.47442461463
394364,2021-08-31,58136.60704433179
394364,2021-09-30,58318.56428014074
394365,2021-06-30,151705.5083744275
394365,2021-07-31,153131.00137598353
394365,2021-08-31,154358.10678149393
394365,2021-09-30,155484.20686039614
394366,2021-06-30,104775.09370427491
394366,2021-07-31,105040.53657982318
394366,2021-08-31,105494.34320466226
394366,2021-09-30,106076.95473498298
394367,2021-06-30,204578.74469645793
394367,2021-07-31,206221.32476677472
394367,2021-08-31,207547.92346791836
394367,2021-09-30,208950.18578348221
394368,2021-06-30,147421.27197333804
394368,2021-07-31,149092.36119909777
394368,2021-08-31,150752.61231783597
394368,2021-09-30,152423.13522855478
394369,2021-06-30,129054.47545549093
394369,2021-07-31,130629.54483494355
394369,2021-08-31,132273.6300849645
394369,2021-09-30,133806.79085278703
394370,2021-06-30,164936.10002724009
394370,2021-07-31,165661.980639373
394370,2021-08-31,166559.25693683492
394370,2021-09-30,167495.68761855125
394371,2021-06-30,114372.65738611744
394371,2021-07-31,114911.31195942004
394371,2021-08-31,115553.53813039896
394371,2021-09-30,116238.27382719483
394372,2021-06-30,143040.47702407843
394372,2021-07-31,143505.9935226972
394372,2021-08-31,144253.54355275357
394372,2021-09-30,145029.92420094373
394373,2021-06-30,199743.91560196975
394373,2021-07-31,201311.25941928575
394373,2021-08-31,203179.31830114225
394373,2021-09-30,204988.26476979727
394374,2021-06-30,85589.60583194258
394374,2021-07-31,85993.40327088913
394374,2021-08-31,86347.08694700437
394374,2021-09-30,86675.41985042399
394375,2021-06-30,128269.02602786856
394375,2021-07-31,129058.67706752481
394375,2021-08-31,129910.2368713292
394375,2021-09-30,130715.17682856886
