dataset,metric,model,value
dominick,smape,amazon/chronos-t5-mini,0.816802098806153
dominick,time,amazon/chronos-t5-mini,653.7256324291229
tourism_quarterly,mase,amazon/chronos-t5-mini,1.8002292765806096
tourism_quarterly,scaled_crps,amazon/chronos-t5-mini,0.06344463501532042
tourism_quarterly,smape,amazon/chronos-t5-mini,0.0903128758879854
tourism_quarterly,time,amazon/chronos-t5-mini,2.190526008605957
m3_monthly,mase,amazon/chronos-t5-mini,0.8987877294421196
m3_monthly,scaled_crps,amazon/chronos-t5-mini,0.08439214575282698
m3_monthly,smape,amazon/chronos-t5-mini,0.07112832894003872
m3_monthly,time,amazon/chronos-t5-mini,7.551790475845337
fred_md,mase,amazon/chronos-t5-mini,0.5638702410821602
fred_md,scaled_crps,amazon/chronos-t5-mini,0.028793960478643507
fred_md,smape,amazon/chronos-t5-mini,0.052133089297007176
fred_md,time,amazon/chronos-t5-mini,2.3588948249816895
m3_yearly,mase,amazon/chronos-t5-mini,3.4857754254987996
m3_yearly,scaled_crps,amazon/chronos-t5-mini,0.11828273554541975
m3_yearly,smape,amazon/chronos-t5-mini,0.10107047366729194
m3_yearly,time,amazon/chronos-t5-mini,1.8855807781219482
m4_yearly,mase,amazon/chronos-t5-mini,3.750213320662723
m4_yearly,scaled_crps,amazon/chronos-t5-mini,0.10007535058305626
m4_yearly,smape,amazon/chronos-t5-mini,0.08649538629227353
m4_yearly,time,amazon/chronos-t5-mini,77.06463265419006
covid_deaths,mase,amazon/chronos-t5-mini,6.554780319404851
covid_deaths,scaled_crps,amazon/chronos-t5-mini,0.07197972573730325
covid_deaths,smape,amazon/chronos-t5-mini,0.20353737447600762
covid_deaths,time,amazon/chronos-t5-mini,3.8714146614074707
car_parts_without_missing,mase,amazon/chronos-t5-mini,0.8030555299551155
car_parts_without_missing,scaled_crps,amazon/chronos-t5-mini,1.0217158277876175
car_parts_without_missing,smape,amazon/chronos-t5-mini,0.9574519236117223
